# Elements 1e+06
[00000.167 ms] [1.644725] multiplySeq
[00018.464 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=2]
[00018.480 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=3]
[00018.462 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=4]
[00018.454 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=6]
[00018.456 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=8]
[00018.447 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=12]
[00018.463 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=16]
[00018.463 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=24]
[00018.460 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=32]
[00018.469 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=48]
[00018.469 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=64]
[00015.630 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=1]
[00015.637 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=2]
[00015.626 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=3]
[00015.622 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=4]
[00015.612 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=6]
[00015.616 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=8]
[00015.626 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=12]
[00015.630 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=16]
[00015.631 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=24]
[00015.624 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=32]
[00015.618 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=48]
[00015.629 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=64]
[00014.956 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=1]
[00014.958 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=2]
[00014.961 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=3]
[00014.957 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=4]
[00014.959 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=6]
[00014.958 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=8]
[00014.959 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=12]
[00014.959 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=16]
[00014.955 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=24]
[00014.960 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=32]
[00014.957 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=48]
[00014.955 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=64]
[00014.711 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=1]
[00014.706 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=2]
[00014.706 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=3]
[00014.708 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=4]
[00014.707 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=6]
[00014.708 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=8]
[00014.710 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=12]
[00014.710 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=16]
[00014.710 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=24]
[00014.712 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=32]
[00014.711 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=48]
[00014.739 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=64]
[00014.481 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=1]
[00014.479 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=2]
[00014.480 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=3]
[00014.480 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=4]
[00014.480 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=6]
[00014.483 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=8]
[00014.479 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=12]
[00014.481 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=16]
